HEA combinations,Al,Fe,Co,Cr,Ni,Mn,Cu,Si,Ti,V,Mo,Nb,Zr,Ta,ΔSmix,VEC,δ,Tm,ΔHmix,Ω,Δχ,Phases,
NbMoCrTi1.2Al0.5,10.63829787,0,0,21.27659574,0,0,0,0,25.53191489,0,21.27659574,21.27659574,0,0,13.09248302,4.957446809,5.10832564,2259.93617,-5.359891354,5.520293973,0.233613727,BCC,
NbMoCrTi1.7Al0.9,16.07142857,0,0,17.85714286,0,0,0,0,30.35714286,0,17.85714286,17.85714286,0,0,13.1246131,4.732142857,4.839604842,2136.678571,-8.635204082,3.247529452,0.221123566,BCC,
NbMoCrTi2.1Al1.0,16.39344262,0,0,16.39344262,0,0,0,0,34.42622951,0,16.39344262,16.39344262,0,0,12.91054221,4.655737705,4.729101666,2104.114754,-9.330825047,2.911346232,0.215474327,BCC,
AlTiVMoNb,20,0,0,0,0,0,0,0,20,20,20,20,0,0,13.3808668,4.6,3.379167433,2140.6,-10.24,2.797176121,0.227982455,BCC + FCC,
FeCrCoNiAl,20,20,20,20,20,0,0,0,0,0,0,0,0,0,13.3808668,7.2,5.437822932,1684,-9.76,2.30874792,0.120565335,BCC + FCC,
FeCrCoNiAlTi0.3,18.86792453,18.86792453,18.86792453,18.86792453,18.86792453,0,0,0,5.660377358,0,0,0,0,0,14.43190865,7.018867925,6.119277911,1698.54717,-9.967960128,2.459207027,0.129375365,BCC + FCC,
FeCrCoNiAlTi0.5,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,0,0,0,9.090909091,0,0,0,0,0,14.69716888,6.909090909,6.44373878,1707.363636,-10.04958678,2.496959553,0.133775438,BCC + FCC,
FeCrCoNiAlTi0.8,17.24137931,17.24137931,17.24137931,17.24137931,17.24137931,0,0,0,13.79310345,0,0,0,0,0,14.87072252,6.75862069,6.803297006,1719.448276,-10.10701546,2.529870297,0.138803277,BCC + FCC,
FeCrCoNiAlTi1.8,14.70588235,14.70588235,14.70588235,14.70588235,14.70588235,0,0,0,26.47058824,0,0,0,0,0,14.64371445,6.352941176,7.391147474,1752.029412,-9.948096886,2.579007695,0.147354115,BCC + FCC,
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,20,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,BCC + FCC,
AlCoCrFeNi₂.₁,20,20,20,20,20,0,0,0,0,0,0,0,0,0,13.3808668,7.2,5.437822932,1684,-9.76,2.30874792,0.120565335,FCC ,
AlCoCrFeNi2.1Ti0.2,15.9,15.9,15.9,15.9,33.3,0,0,0,3.2,0,0,0,0,0,12.51,7.62,5.48,1715,-14.2,1.51,0.18,FCC ,
AlCoCrFeNi2.1Ti0.4,15.4,15.4,15.4,15.4,32.3,0,0,0,6.2,0,0,0,0,0,12.89,7.48,5.92,1740,-15.1,1.49,0.19,FCC ,
AlCoCrFeNi2.1Ti0.6,14.9,14.9,14.9,14.9,31.3,0,0,0,9,0,0,0,0,0,13.18,7.35,6.31,1765,-16,1.46,0.2,FCC ,
